,Habituality,Sentence
3499,-1,"And eighty-six and, um, the people here is, um- is real nice, um, We've been- I moved from Tarboro the mobile park that I was talking about, and, uh, into a Alright and then,  uh, from First Street on back up, um, it would be on the right side, found on the right side of- of  Boulevard and, um, then I got everything on the right side on Mutual Boulevard, and part of Southern Terrace.
"
3500,-1,"Yeah, the high school they was at, uh, Pattillo, so they would be in Tarboro.
"
3501,1,"And, uh, they- Okay let's just use you for example, if you a preaching on Amazing Grace, And- and- and he be doing something like, Ama- wait a minute.
"
3502,1,"And, um, but they- they be preaching from the bible, though.
"
3503,1,"N- but it's the way they be preaching it I- I- I- I sometimes don't understand what they saying, they don't bring the words clearly, what I'm saying.
"
3504,-1,"Because they- they supposed be, um, n- um, builded like, uh, the, uh, historical society do.
"
3505,-1,"And, um, uh, historic- they supposed to be, um, help preserving that church because of it age.
"
3506,-1,"Um,  then my, uh, granddaddy's he used to, uh, own a barbershop, right be - next to it to, um, the church, that I'm a member of in Speed.
"
3507,-1,"So I said, see now it's working matter how- cause I say- my car, I'm gonna have to get out, and- So I'm'a be able to work, so I say, I better- I'll go to my mom and daddy house.
"
3508,-1,"You know, cause we thought all the water, you know, it- it had stopped raining, because it didn't appear to be no- no more rain.
"
3509,-1,"And like I said, oh that gonna be gone, you know, after a while.
"
3510,-1,"The- it's a flood coming in Princeville, and they don't know how deep it gonna be.
"
3511,1,"You sit down until they lift you up- air lift you up, and then another man be inside of the airplane and pull you on in.
"
3512,1,"People- people like, you know, you be talking to people, you know, like on the phone.
"
3513,1,"Then had to get uh, mm, I was probably about phew- prob- be about good twenty- probably a good twenty stitches.
"
3514,-1,"I'll be scared of what- you know, what somebody gonna say.
"
3515,-1,"I just might be scared that they ask the question, so I just basically just sit back.
"
3516,-1,"Fourth grade would- starts- Had to be like the- When you start- But think it was like second grade.
"
3517,-1,"Every- every now and then, he'll get in his mood though, he'll- we'll be sitting down.
"
3518,1,"Like we sitting around- We be talking, and then he'll come back and say some of his- what happened to him back in you know, his younger days.
"
3519,-1,"Then, like I said, get a little attitude, then I say he- well he gonna be on my back anyway.
"
3520,-1,"Let me give him something to be on my back for.
"
3521,-1,"That was you go in- Think we were going in like- I think you had be in like, three o'clock.
"
3522,1,"Be happy when they come to they job.
"
3523,1,"But you know, then problems be worked out a little- little easier, little better, so.
"
3524,-1,"That's what the name used to be is- Yeah.
"
3525,1,"Matter of fact, I think next month, the first Wednesday, I think that's when I be holding the um, training class.
"
3526,1,"So, training- I be holding it.
"
3527,-1,"So I had to be - How long you been here?
"
3528,-1,"You know, riding by some day, they out here, know, Might be cooking out.
"
3529,-1,"And the car rolled though- Cause he- Cause when- how you going on the road, you sposta be going straight.
"
3530,-1,"Every now and then though, a little- little grass fire you know, might be alright, but just think about somebody house catching on fire, yeah.
"
3531,-1,"Then especially when I had one that come up to me and he was like, I want to be a fireman.
"
3532,-1,"You know, I know there gonna be some things that you gonna have a problem with, you know, cause I mean I looked at some of the- some of the stuff they doing now.
"
3533,-1,"And least for both of us to be sitting there I got- done got a spanking for something you done did.
"
3534,-1,"Uh, that- other than that used to be the grocery store here at- right here at- right beside the fire station sort of?
"
3535,-1,"And it used to be a dance club  on what- on two fifty eight.
"
3536,-1,"Um, not directly but I felt- that's my own personal feelings of what I could see what would just be here say because it could have been my thoughts.
"
3537,-1,"Whether you stayed in Tarboro or Princeville, you all connected be at the same school.
"
3538,-1,"You know, I said one day I either wanna be a fireman or a police officer.
"
3539,-1,"You know, so I said well, uh, I could be a part of that, you know .
"
3540,-1,"I don't remember any other flood other than just low level floods, you know, where you could walk in it, where it would be sometime like almost knee high, but as far as evacuating the whole town, I don't know more- I don't think we had a lot of those type floods.
"
3541,-1,"And I told 'em they could go ahead on and leave, thinking that we was gonna be back in a couple of hours.
"
3542,-1,"You know, so we realized then that we was um, not gonna be coming back, you know, for awhile.
"
3543,-1,"You know, so if they see the water, Gonna be  in danger.
"
3544,-1,"We had quite a few stay a little too long and they had to be rescued by uh, Army helicopter.
"
3545,-1,"Just guessing between the house and the mailbox, using the mailbox as a guide and knowing where the road sposta be.
"
3546,-1,"Yeah guessing where the road should be.
"
3547,-1,"After uh, notifying the fire marshal, uh, he said that help was coming but it was gonna be several hours getting here with the um, National Guard, I guess.
"
3548,1,"We hope that it be true.
"
3549,-1,"You know, I think that would be the key.
"
3550,-1,"Yeah, you know, the risk will still be there, but it just old conveniency.
"
3551,-1,"And I don't know if that's mental or what but um, if I weren't from Princeville and visit here I'll be more appreciative that fact that I'm here in the- in the oldest town in America- black town and so you know but to know that now I grew up in this area and I'm part of this area now I appreciate it even more.
"
3552,-1,"You know, we wanna be able to run our own town and handle our own business like that.
"
3553,-1,"You know, but um, you either wanna be a part of the team, or you just wait for the team.
"
3554,-1,"The problem must be removed.
"
3555,-1,"You know, but sometime when your hands are tied, based on finances or based on uh, situations going on, sometime you may think this should be top priority but the town administration see that this is top priority.
"
3556,-1,"And sometime people need just be more educated and sometime most of the g- people in this community if you just talk with them, and give 'em a chance to just get off some steam.
"
3557,-1,"You'd be surprised what kind of results you get from it.
"
3558,-1,"You know, people don't- in Princeville don't like to be kept in the dark.
"
3559,-1,"There are uh, uh, they seem to be - people seem to wanna move to Princeville instead of out of Princeville.
"
3560,-1,"You know so the - To be in Princeville I guess is sort of a chance to a certain level anyway.
"
3561,-1,"They want just come back home to  You know, so uh, uh, they knew the risk, has been and c- and could be, but we just talking about I live here.
"
3562,-1,"So their roots, they just they wanna be here.
"
3563,-1,"Sara Lee, that- I mean, that's- that's seem to be a household name around here, you know, Sara Lee.
"
3564,-1,"You know, you have to be around here.
"
3565,-1,"If you don't, you- you won't be long.
"
3566,-1,"You know I've seen some people draw pictures to me would- could be artists, but you know they don't pursue it.
"
3567,-1,"You know, and- and we need more leaders to be able to come in and pursue these kind of people to- to push 'em.
"
3568,-1,"We don't- uh- it's sad to say but I wouldn't wanna say it for the record but it just we're not pushing our youth as hard as we should be pushing our youth to do- to bring out that talent.
"
3569,-1,"Well, I- I was in school and, um, I had taken, uh, management course, and one of my instructors uh, looked at me and said, you just have that pizazz to be a leader and not a follower.
"
3570,-1,"There used to be a ball park across from the old town hall, back over in the wooded area.
"
3571,-1,"I decided that when Krystel was gonna leave his mayorship I no longer wanted to be there.
"
3572,-1,"But see the hang up came because I had been calling the sheriff department inquiring about the water and they couldn't tell me anything or they wouldn't tell me anything  but nevertheless, I decided I had to do what had to be done, so neglecting myself, I leap from that chair in the office cause I was living in the apartment next to the office.
"
3573,-1,"And this was gonna still be my home.
"
3574,-1,"And I know- I knew too also that Princeville could not be Princeville any place else but here.
"
3575,-1,"See you- they could tell us to move down the highway about eleven miles, eight miles or six miles or five miles, that wouldn't be Princeville.
"
3576,-1,"I can remember right down here at this corner, there used to be a lumber yard.
"
3577,-1,"So this has to be Princeville.
"
3578,-1,"There used to be a big old gin house thing, like a building there that used to have a occupy- a s- it used to well, house a store.
"
3579,-1,"I think it's a little place down here called S- uh, Shiloh Farm Road and those places and it's gonna have the meaning to me that these landmarks have when you come up into Princeville and know what used to be here.
"
3580,-1,"I was hoping he could be here today for you to talk to him, but you can come back always and talk with him.
"
3581,-1,"He says, realize now, you said you want the people to come back home, and you had to make the first move to show them they had to be strong and come back.
"
3582,-1,"But like I say- I kn- I know no place but Princeville and there's no place else for me to be.
"
3583,-1,"And so this is the reason that I above and aboard of all things have to be honest about decisions I make.
"
3584,-1,"Uh, everybody's baggage should be about the same.
"
3585,-1,"She even almost gave the property to the church to be built there.
"
3586,-1,"That was uh, where the um, <ts founders area for Princeville, the town hall used to be there, there's an old picture down in the town uh, where you can see.
"
3587,-1,"And there are pictures, there has to be pictures in the town hall I think now.
"
3588,-1,"And where you come in from over town coming around the curve, there- years ago it used to be um-  What was in there now?
"
3589,-1,"Yeah that need to be torn.
"
3590,-1,"You talk to Danise Who he supposed to be?
"
3591,-1,"Years ago she used to be a majorette in one of our high school bands.
"
3592,-1,"That would be good.
"
3593,-1,"And the strangest thing, there used to be people like sitting on a corner on Main Street, and they used to call it Chris' corner, anybody can tell you that lived here years.
"
3594,-1,"And we did health workshops for them, where we would bring in the health department and any type of resource area that would be needed.
"
3595,1,"And some of them uh, like when growing up, you can just about tell you know, how a person's gonna turn out if you be with them for a while.
"
3596,-1,"I didn't think it was gonna be like this, you know.
"
3597,-1,"I mean he would come down and volunteer and help us every month, he was be there.
"
3598,-1,"Uh, positions that would be needed, we had already put that down.
"
3599,-1,"You know, how would uh, this person be uh, advised, and what kind of training you know, this person need.
"
3600,-1,"And um, the, uh, copy of this uh, should be at the town hall now.
"
3601,-1,"Because I saw there was change need to be made.
"
3602,-1,"I don't mean to take uh, credit of everything, but if it's not going right, I'm not gonna be a part of it.
"
3603,-1,"And uh, I'm a very strong stickler about people not doing things the way they supposed to be.
"
3604,-1,"Because there's still a lot of work need to be done.
"
3605,-1,"And keep everything in place like it's supposed to be.
"
3606,-1,"Because I know you've heard it, just like everybody say it's been a lot of dissension going on that wasn't needing to be.
"
3607,-1,"If you go down Neville Street, make a left, and the row of houses on your left well it's supposed to be across from there, additional housing.
"
3608,-1,"It used to be a store there um, convenience store and gas station.
"
3609,-1,"Their names will not be public.
"
3610,-1,"You d- you- even though we might be a little country hick town but we still want a nice place to live you know, and live comfortably in- in the community where you stay, you don't wanna see that.
"
3611,-1,"Instead of moving away, you know, they rather be here.
"
3612,-1,"That would be good.
"
3613,-1,"I said, it might be a small community but there are needs and- and you know we been traveling these areas a long time, nobody has gotten hit by a train from that intersection but they have further down.
"
3614,-1,"And when you come in from over town, cross the bridge where our little park is now, that used to be stores, little stores.
"
3615,-1,"And then it had little I call 'em shotgun houses, one and two rooms, sitting on the other side where the service station used to be.
"
3616,-1,"And I said, Sueann I think you better go over there and get Sueann, which was the yellow house where you see over there, that's where her house used to be.
"
3617,-1,"And I said Gerod why don't you spend the night over here with us and tomorrow morning we'll get up and see how it's gonna be.
"
3618,-1,"I said, don't you do that, I said, you stay over here with us and just see you know, how it's gonna be.
"
3619,-1,"And then there was a lot of things you had to do before you would be able to put the home here.
"
3620,-1,"And make sure it was uh, standard uh, lever off the ground, it had to be three feet but I told them to go up one more.
"
3621,-1,"I said, that is so precious and should be rewarded you know, for doing something like that.
"
3622,-1,"I wish we could have a day of celebration where people could be contacted to come back and just to see now, and see what they've done to assist and helping us in this community.
"
3623,1,"And so when I be coming to old Princeville, I don't mind doing anything that they ask me.
"
3624,-1,"I'll still be praising.
"
3625,-1,"This what it gonna be.
"
3626,-1,"This gonna be my home.
"
3627,-1,"And if you can't along with us it'd be the best to speak to the ?
"
3628,-1,"It's gonna be a little town now on the map.
"
3629,-1,"Okay, the boy he's- is uh,  nine and he will be eleven October.
"
3630,1,"They be flying too.
"
3631,-1,"And then dad and mama had a bedroom, then there be the kitchen, we have a room.
"
3632,1,"Like be four in this bed or five in this bed, like that, you know?
"
3633,-1,"So keep praying for Princeville, is be alright.
"
3634,-1,"You miss a lot that don't be love and kind.
"
3635,-1,"Yeah, she'll be in- I was in before she was anyway.
"
3636,-1,"I had a job but I had to let it go because of the hour that- somebody had to be there with my daughter.
"
3637,-1,"And we would be over there.
"
3638,-1,"And some- it- sometime it'd be two or three families.
"
3639,-1,"Mm-hm, but it would be down Main Street but then come over there too.
"
3640,-1,"Cause I was here then by myself and uh, I stayed sickly so she said she was gonna come home so she would be close to me.
"
3641,-1,"Would it be alright?
"
3642,-1,"It was back of Thorne- used to be Thorne Drug Store on the depot.
"
3643,-1,"And she had cancer and somebody had to be there with her day and night.
"
3644,1,"Yeah cause they b- be down here.
"
3645,-1,"Now the brother next to me in Norfolk, he and h- his wife supposed to be down here Friday and stay the weekend.
"
3646,-1,"Cause when our grandma was living  and our mother used to work over Rocky Mount, they would- all us would be over the railroad together.
"
3647,1,"They- some would dip stuff  if you- if you be looking at them  tryna to see what they were talking talk about but they were spitting that stuff after.
"
3648,1,"And they be gone to work, and that son would kill the chicken to cook.
"
3649,-1,"And they would always buy up a plenty stable food when they'd be working.
"
3650,1,"Cause sometime we be together and s- and somebody don't know, and they say, is that your mother?
"
3651,-1,"And they do- I said, don't feel bad cause I'm old enough to be her mama .
"
3652,-1,"But the original property, um, would be over there in Princeville, right across from, um, the town hall now.
"
3653,-1,"Yeah, it was a- it was a wonderful place just to- to stay and to live- to- to be raised up, yeah.
"
3654,-1,"As a matter fact, uh, Zachariah would be the one I give her this credit.
"
3655,-1,"And um, and we- you- and you'd be surprised how many, um, Caucasian supporters- I call 'em my Caucasian brothers- uh, are sympathetic and can see that, um, that's part of the healing process.
"
3656,-1,"Not necessarily to give us trillions of dollars but to acknowledge that a great wrong has been done, and something needs to be done to correct that because as long as you keep ignoring, um, the situation, and it continues to, um, fester, and um, it- it- it doesn't do the two injured parties- the oppressed is just as much, uh, injured as the suppressor.
"
3657,-1,"And I thought it would be a good place for them to come and- and see, um, what- what progress hasn't been made and what progress has been made.
"
3658,-1,"So, w- w- we'll get there and this H two- H forty bill is a bill that would be introduced by, uh, Congressman John Conyers, out of uh, Michigan.
"
3659,-1,"Uh, for instance their uh- their behavior, their psychological inheritance of, uh, not being all they can be is um- is a result of being, uh, how do we say, uh, uh, descendants of Jim Crowism and racism.
"
3660,-1,"And some folks know about it and some folks don't, but um, I have to be sort of precarious about how I say it.
"
3661,-1,"And uh, and you just have to be careful how you say what you say.
"
3662,-1,"It's long overdue, that something should be done.
"
3663,-1,"But at the same time, they need to be gently awakened to say well, the only way we can get past that is to address it and go from there.
"
3664,-1,"And um, you had educators, uh, that would come in, uh, Doctor Marlee, who was a Jamaican, he would be the first one to set up a school here.
"
3665,-1,"Uh, I never did see him, but I saw my ma- uh- granddaddy would die for my father would be twelve years old, but uh, I hear daddy talk about it, say that um- that same uh, railroad track that runs east and west um, used to stop the- uh- and would let him off there coming from the roundhouse in uh- in Rocky Mount.
"
3666,-1,"And I used to be so mischievous man.
"
3667,-1,"And uh, today that would be looked upon as abuse.
"
3668,-1,"And I'd be just as- I'm'a tell you.
"
3669,-1,"And the third boy uh, Shaylene he would be hit by uh, a car.
"
3670,-1,"I don't know what happened to Zeth, but I would be - I would land on the front porch of my Uncle Juante's house in the swing.
"
3671,-1,"You could be bleeding out your head.
"
3672,-1,"And uh, that would be my first encounter uh, in the emergency room.
"
3673,-1,"These would be the Christmas loops, the Christmas chains around the .
"
3674,1,"And I would- I be looking for 'em now.
"
3675,-1,"Miss Stuart act like she would be waiting- waiting for the opportunity to get on somebody's case.
"
3676,-1,"And then from there we would go over to um, Jenise Elementary which was Miss Jenise would be the fifth grade teacher.
"
3677,-1,"That's where Macedonia Baptist Church used to be.
"
3678,-1,"And uh, Coach Luna um, who was- who would turn out to be my first football coach, he saw the football ability uh, in me because during the weekend, all of my cronies- uh, Mrs. uh Johnita down here, her- her brother- brother's t- uh, Britiany and Iasha uh, and Keiara and Keiara and Keiara, aw man we would get together a- and get a football team up, and I just- they just couldn't catch me.
"
3679,-1,"The idea of me leaving here, but the rule would be July of nineteen fifty six that we would pack up and uh, move to Virginia.
"
3680,-1,"Um, the Tinesha, uh, they would be my first group.
"
3681,-1,"This is- would be my first um- my first group.
"
3682,-1,"And my first group with them would be called the Swans.
"
3683,-1,"And I was a little nervous anyway because I had already seen how um, unethical and uncouth we could be culture-wise.
"
3684,-1,"The way I was brought up, you know, and I said I want to sing, I said, but I don't wanna sing at the Apollo Theater, I said, because I understand that if they don't like you, you could be really singing.
"
3685,-1,"And f- the- f- one summer  on the third- f- I think it was- took me- took me three days before I would be actually discovered.
"
3686,-1,"I was hoping I was gonna be discovered just like that And uh  so she told me she say, I happen to know the publisher of the Platters.
"
3687,-1,"Now, David was sick at that time, and Herbie would tell me um, that they was gonna be l- looking for some replacements later on.
"
3688,-1,"And Buck would um, start working with 'em, and he also would be managing a group called the Penguins.
"
3689,-1,"They only had one hit, Earth Angel, Would You Be Mine?
"
3690,-1,"That version, they would be tagged as the Flatters.
"
3691,-1,"She thought I was- should be nervous cause they was calling 'em in, call 'em in.
"
3692,1,"Like, and I don't be hurting nowhere.
"
3693,-1,"I used to go to the city, stay awhile, a night, and I'd be come on back.
"
3694,-1,"And- and I feel like they ought to be giving me a few food stamps too.
"
3695,1,"Everybody be eating meat if you go get in the right place where I put 'em now, talking about sister's house down there cause  in the area down there.
"
3696,-1,"We got some of- members of there that left here and went over there to be a paid fireman, but- and some of 'em- Well, they- we'll work together if ain't nothing going on like that.
"
3697,-1,"Well, it runs uh- ought- we sposta be something like- where it's calls that - four miles out your district.
"
3698,-1,"But they want the stuff what you got running today and- and sell and be able to pay off your bill.
"
3699,-1,"Then a woman gonna let me on that bed, let me be in her, and- and I ain't never felt no  when you get up there on one like you want.
"
3700,-1,"I don't want them- I don't want to be around them.
"
3701,-1,"And along at that time, you could get 'em for five or six hundred dollars, pay the taxes up and it would be yours.
"
3702,-1,"She want me to be in charge when she die.
"
3703,-1,"That ought to be about it, hasn't it?
"
3704,-1,"Well, the- the l- I think  a couple of days for us find out it was gonna be that high cause that's- it took about that long to get up there in the marsh.
"
3705,-1,"They'd be around here with no help, you know.
"
3706,-1,"Was it harder to be a black soldier?
"
3707,-1,"Well see, back in them days, my daddy way back there a long time ago, he used to be a carpenter.
"
3708,-1,"Well I enjoyed talking to you but I- I know I got to down- He got to be at work at uh, a- in a li- My name?
"
3709,-1,"Let me know, and um, I- I'll be glad to talk to you.
"
3710,-1,"there he go again a million dollars I know how that gonna be with no ?.
"
3711,-1,"They just said, okay, get good grades, apply to school you want, go there, you'll be fine.
"
3712,-1,"I'm actually gonna be, um, starting Bruna in two weeks to finish out my RN.
"
3713,-1,"I don't know financially where I'll be, um, and then I've recently just gotten into a relationship.
"
3714,-1,"I don't know where my heart is gonna be.
"
3715,-1,"But I follow my heart, and it- it hasn't led me too far from where I need to be, but we'll see.
"
3716,-1,"That would be the reason why I haven't gone back to school in the last- we'll add it up, seven years.
"
3717,-1,"So is there anywhere you've been where you feel like, you know, this feels like an- it could be another home for me.
"
3718,-1,"It'll probably be a year in total once I finish out my pre-reqs.
"
3719,-1,"I'll be done by next year, next- that's two thousand nineteen, spring of two thousand nineteen, yeah, Okay.
"
3720,-1,"I- I- I can't say that either, but who likes to be in school, you know.
"
3721,-1,"I- I don't think I walk outside my door, and the first thing on my mind is let me be conscious of where I go because I'm worried about my safety.
"
3722,1,"However there are places that I do go, and I'm like, well, make sure you say this proper, make sure you don't, you know, be too loud cause people are gonna judge you.
"
3723,-1,"I think Harriet Tubman was born- I could be wrong, but I know for sure Har- um, Frederick Douglass was born there.
"
3724,-1,"You gotta be careful where you are, where you go because, you know, it's techsni- it's technically below the Mason-Dixon Line, and life hasn't changed a bit much there for people, so, you know.
"
3725,-1,"as you would be in those sorts of places.
"
3726,-1,"It- it's- it's, um, very evident, the areas that are, you know, poverty-stricken, and- However, it tends to be more minorities in those areas, so you can then subdivide it into minorities are poor in Rochester.
"
3727,-1,"I don't feel like we couldn't all be on the same page, but again going back to high school resources, you know.
"
3728,-1,"How come they don't have programs where, you know, start up in ninth grade so that you can be prepared, or even a- a buddy buddy program or a sister, you know.
"
3729,-1,"I don't know, but I just know that you have to invest into the future in order to h- make the present what you want it to be.
"
3730,-1,"Why can't that be the same in every school no matter what district?
"
3731,-1,"It probably won't come out here cause I'm tryna be proper so you can understand me, but when we talk to each other, you can hear it, and so if I'm somewhere and I'm comfortable, it comes out.
"
3732,-1,"Things I would say, they'd be like who- if I were to say, who shot John?
"
3733,-1,"You know, like, it's just the way things are considered to be normal or Yeah, so.
"
3734,-1,"So my grandma always inputted into me, you know, knowledge is power, read, grow, you know, don't be ignorant, and ignorant doesn't mean not talking proper.
"
3735,-1,"Made a difference, but that don't mean you can't, you know, be smart and not talk proper cause trust me I'm-  I- I, uh, I, uh, have to concentrate to talk sometimes.
"
3736,-1,"It doesn't necessarily have to be a slew of words for somebody to get that you're smart.
"
3737,-1,"It just needs to be point clear, and everybody understands, so.
"
3738,-1,"And so, because at the time I wanted to be a teacher, I was like, oh maybe I'll go to like St. John Fisher, or some of the smaller schools, um, that had like scholarships and stuff like that for me.
"
3739,-1,"And then when I got in and realized, oh, they're actually, like- this might actually be a good place.
"
3740,-1,"And, I felt like I often had to do different things that I- I know- knew for sure that my other classmates didn't have to be concerned about.
"
3741,-1,"And I think that really helped me to, um, understand, more about my identity and history and that it's- and to demand, like, justice and all these different things and that it's okay to- to be black on this campus and that, even though I know that for sure that are people that don't want me there, like I can actually excel here and get something, uh, from this experience.
"
3742,-1,"And I'm always like, do I wanna go and be the only black person again, or?
"
3743,-1,"So like, do I actually wanna be around that?
"
3744,-1,"Uh, um, you know, in the past I had to be around that, but do I actually wanna subject myself to that?
"
3745,-1,"But I'm glad I went to like one because there was other, like, um, students, like, black students that were there, that graduated b- before me, that happened to be there, that I think, had I not gone to that happy hour, I would not know they were actually in DC.
"
3746,-1,"yeah, okay, I think it might be worth it.
"
3747,-1,"Um, and so, actually, when I came in, like, I came in as a math major, and I was- you know, you have to take other courses so I was taking political science, but it was just kind of like, j- just taking it, I didn't really know that I w- I would be that interested in political science.
"
3748,-1,"And that will be, like enough, um, and so, the whole time when I'm applying to these grad programs, I'm very skeptical that I'll get in I- I guess, but more so the fact that I didn't want to go to school for another, five s- five to seven years.
"
3749,-1,"Um, and I knew that would bring a different set of challenges in that, I would be in this new place, where I didn't know anyone.
"
3750,-1,"Um, cause I got this fellowship, and part of the fellowship was that you could possibly go earlier and like, get more acclimated, and stuff like that, and I chose to do that because I didn't know anyone in Michigan and so I thought this would be a good opportunity to meet other students of color or just like, minority students, before the semester.
"
3751,-1,"And so when I would get the problem sets done, or get the homework done, they'd be like, how do you know how to do this?
"
3752,-1,"I think it can be - it- it's very easy to internalize that um, those feelings, um, in grad school, because a lot of times, people would personally attack your work and, like, the things you're interested in, especially if you're a person of color, studying communities of color, you know.
"
3753,-1,"And it's like, no, like, you can actually do objective work and be black and like, that's fine.
"
3754,-1,"no, so-  no, that was good, um, and t- and you know me, I have to be - ask a selfish question.
"
3755,-1,"So like, you know how to be a student, you know how to take classes, you know, you're amazing at that, you know, that's why you got into grad school.
"
3756,-1,"Like, I don't have classes when I'm expected to be working all the time.
"
3757,-1,"Um, c- so, my program we have to like, write a proposal that depending on your advisor, can be a substantial proposal sort of lines.
"
3758,-1,"And I felt like, it would be very difficult to do that, from the perspective, of being a faculty member.
"
3759,-1,"And so,  I was like, I don't wanna be a professor.
"
3760,-1,"So, I gotta be honest about that.
"
3761,-1,"You know,  so, just like I said, the- the- the just mental capacity it takes, to just be challenged in every single way.
"
3762,-1,"Um, but I definitely got this feeling that somehow, I should be disappointed in myself, because I didn't go to academia.
"
3763,-1,"Um, and it's also hard, because people- when I come home, people expect me to be the same person, talk the same way, talk about the same things.
"
3764,-1,"No, I think that is gonna be really good.
"
3765,-1,"I don't want you to be interrupted.
"
3766,-1,"Um, cause it was my first choice, I thought it would be fun.
"
3767,-1,"I would go back right now, tomorrow, and it would be the best.
"
3768,-1,"I'd like to be a stay at home mom.
"
3769,-1,"And they're like, oh I'll be able to- if you're a woman and all the- I'm like nah, No.
"
3770,-1,"I w- I would like to be a stay-at-home mom someday.
"
3771,-1,"uh, it took a while to find people who I think like, wanted to be friend and by tenth grade, I think maybe I found them.
"
3772,-1,"and-it- it's funny how it turned out that way, but I think we always will be.
"
3773,-1,"I always said, I would have liked to be in theater if I wasn't in creative writing, I should have been a creative writing major.
"
3774,-1,"Like, I don't- I think people make the mistake of like, thinking that pretty girls don't need to be told they're pretty.
"
3775,-1,"You could be good at eighty-five thousand things, but if you don't look like this, it's like, bye.
"
3776,-1,"That would be silly.
"
3777,-1,"So it's just like, I- I- even though, you would think that would limit you, And- and I guess it does, but I always knew I couldn't be like a Victoria Secret model.
"
3778,-1,"Like, I'm never gonna be on- on a runway on television.
"
3779,-1,"But, I don't know, natural hair comes in a lot of different- I- it took me a long time to realize that natural hair can be straight if that's your texture.
"
3780,-1,"And also I thought it would be really- I wanted to do it, cause I hadn't done- I hadn't worked with, like uh, a staff that- like a staff of color in while on a photoshoot or anything.
"
3781,-1,"And I was like, this might be fun.
"
3782,-1,"But this one that was like specifically actually for, like it was supposed to uplift and be positive.
"
3783,-1,"She might see one person who she identifies with and that might be me.
"
3784,-1,"Like, letting me be that.
"
3785,-1,"Like if they need to be inclusive, then if I'm included, I think it sets them at ease.
"
3786,-1,"But like, it just seems to be easier for people.
"
3787,-1,"And- and that's why like, I don't think I'll be doing this for much longer, but.
"
3788,-1,"And- and my boss will be like, I didn't know you were black.
"
3789,-1,"Like, that I- I feel like I almost shouldn't be hearing.
"
3790,-1,"Or be accomplished .
"
3791,-1,"I was gonna say what would it be for?
"
3792,-1,"And I would be really happy doing it.
"
3793,-1,"Like, I'm still not gonna kick you out, but if you are, I'm gonna try to be extra supportive of that.
"
3794,1,"I feel like I'm gonna put it on Amazon, it's just gonna like, sit and like be chilling on Amazon forever.
"
3795,-1,"And it's gonna be like- No.
"
3796,-1,"I'm gonna be twenty-seven and I don't really do anything.
"
3797,-1,"On the flip side though, I could host something and it would probably be really fun.
"
3798,-1,"I may find a way to use it, but I just like really, just wanna be happy.
"
3799,-1,"And do you have like an ideal school, or place even that you would like to be like Chicago, or I don't know, inaudible.
"
3800,-1,"I wanna be there.
"
3801,-1,"And- and then- and then when I realized like, black people can be British too Mm-hm.
"
3802,-1,"It just seems like, some of the things that we worry about here, might not be things that people worry about over there.
"
3803,-1,"I almost feel like I'm late for an appointment because like I should be somewhere else.
"
3804,-1,"I don't- I don't think it's necessarily good to be selfless at all.
"
3805,-1,"I just happened to be here.
"
3806,-1,"I mean you're right, but I tried to keep that goal in mind and I tried to think that even if I got my heart broken, I still kno- at least know that I can- I can try to be with someone without manipulation, or riding on the coat tails of something else, or like- Mm.
"
3807,-1,"Like, I think it's gonna be a- a lot easier for me.
"
3808,-1,"I could be a certain kind of girl I guess.
"
3809,-1,"And it felt good not to be manipulative, or like, just get what I want, any other way, other than honesty.
"
3810,-1,"it'll be okay.
"
3811,-1,"It took me until twenty-five to realize that, cause I was like, ew what the fuck, who wants to be here.
"
3812,1,"split a really nice brand new three bedroom with two other people and have my rent only be three-twenty a month.
"
3813,-1,"like part of the reason why I haven't left is because I've never felt like I've been able to save up enough money to be okay, somewhere else.
"
3814,-1,"Um, without being in school or just in any case even if I were in school, nobody wants to go somewhere and be broke.
"
3815,-1,"And it doesn't have to be a struggle.
"
3816,-1,"Doesn't have to be uncomfortable.
"
3817,-1,"uh, if I could just never think about it until the day I die, I'd be perfectly happy.
"
3818,-1,"And that's where I would ideally want to be, but yeah I like this area.
"
3819,-1,"Um,  And I guess my last question would be, do you feel like, um, people in Rochester, in all your travels I guess, do you feel like people in Rochester have an accent?
"
3820,-1,"And like, put your voice up there, I don't think that people would automatically just be like, she's from Rochester, you know.
"
3821,-1,"Yeah, I'll be back tomorrow.
"
3822,-1,"No matter where I go, like I don't want people to ever be able to pinpoint that.
"
3823,-1,"And I wanted to like have certain things be true despite what people would think about the way that I look.
"
3824,-1,"I just wanna know about what you perceive Rochester to be, what it was like to grow up here, where you went to school, what you wanna do next, just those sorts of questions.
"
3825,-1,"So instead of allowing my mom to be a mom, everybody else in the family, felt like they wanted to raise him.
"
3826,-1,"Like I remember just being that kid that's just like, hey, I wanna be friends with everybody, and- and doing that, and really like understanding like I don't understand why this person is being mean to me right now, but I don't like this feeling, so I kind of have to you know, protect myself.
"
3827,-1,"Oh, you can't watch TV even though you finished your homework, cause J.R. didn't finish his homework, and he's gonna be distra- Like, it was just a lot of different rules, and a lot of different living situations that I didn't have to live with- like, never had to deal with.
"
3828,-1,"And now mind you, my aunt's kids be fine.
"
3829,-1,"Like, so, from that- that I can say, if I didn't have that, I don't really know where I would be right now.
"
